Match No.,Match Date,Venue,1st Team,2nd Team,Stage,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Match_Id
46th,21-06-2024,"Kensington Oval, Bridgetown, Barbados",United States of America,West Indies,Group 2,West Indies,Fielding,128,10,130,1,West Indies,Normal Match,Wickets,9,Shai Hope,82,Roston Chase,3,19,Roston Chase,T20I # 2713
47th,22-06-2024,"Sir Vivian Richards Stadium, North Sound, Antigua",India,Bangladesh,Group 1,Bangladesh,Fielding,196,5,146,8,India,Normal Match,Runs,50,Hardik Pandya,50,Kuldeep Yadav,3,19,Hardik Pandya,T20I # 2716
48th,22-06-2024,"Arnos Vale Ground, Kingstown, St Vincent",Afghanistan,Australia,Group 1,Australia,Fielding,148,6,127,10,Afghanistan,Normal Match,Runs,21,Rahmanullah Gurbaz,60,Gulbadin Naib,4,20,Gulbadin Naib,T20I # 2717
49th,23-06-2024,"Kensington Oval, Bridgetown, Barbados",United States of America,England,Group 2,England,Fielding,115,10,117,0,England,Normal Match,Wickets,10,Jos Buttler,83,Adil Rashid,2,13,Adil Rashid,T20I # 2719
50th,23-06-2024,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,South Africa,Group 2,South Africa,Fielding,135,8,124,7,South Africa,DLS,Wickets,3,Roston Chase,52,Tabraiz Shamsi,3,27,Tabraiz Shamsi,T20I # 2720
51th,24-06-2024,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",India,Australia,Group 1,Australia,Fielding,205,5,181,7,India,Normal Match,Runs,24,Rohit Sharma,92,Arshdeep Singh,3,37,Rohit Sharma,T20I # 2721
52th,24-06-2024,"Arnos Vale Ground, Kingstown, St Vincent",Afghanistan,Bangladesh,Group 1,Afghanistan,Batting,115,5,105,10,Afghanistan,DLS,Runs,8,Litton Das,54,Rashid Khan,4,23,Naveen-ul-Haq,T20I # 2722
53th,26-06-2024,"Brian Lara Stadium, Tarouba, Trinidad",Afghanistan,South Africa,1st Semi-Final,Afghanistan,Batting,56,10,60,1,South Africa,Normal Match,Wickets,9,Reeza Hendricks,29,Marco Jansen,3,16,Marco Jansen,T20I # 2723
54th,27-06-2024,"Providence Stadium, Guyana",India,England,2nd Semi-Final,England,Fielding,141,7,103,10,India,Normal Match,Runs,68,Rohit Sharma,57,Axar Patel,3,23,Axar Patel,T20I # 2724
55th,29-06-2024,"Kensington Oval, Bridgetown, Barbados",India,South Africa,Final,India,Batting,176,7,169,8,India,Normal Match,Runs,7,Virat Kohli,76,Hardik Pandya,3,20,Virat Kohli,T20I # 2729
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,134.6538462,114.8269231,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,19,17,,,,,,,,,,,,,,,,,,
